"ISSN_1","ISSN_2","Title"
2395‐0455,,"         INTERNATIONAL JOURNAL OF COMPUTER NETWORKS AND APPLICATIONS"
0975‐2293,0974‐9322,"INTERNATIONAL JOURNAL OF COMPUTER NETWORKS AND COMMUNICATIONS"
1684‐4769,,"         INTERNATIONAL JOURNAL OF COMPUTER SCIENCE IN SPORT"
1793‐8201,,"         INTERNATIONAL JOURNAL OF COMPUTER THEORY AND ENGINEERING"
0920‐5691,1573‐1405,"INTERNATIONAL JOURNAL OF COMPUTER VISION"
2155‐7098,2155‐7101,"INTERNATIONAL JOURNAL OF COMPUTER‐ASSISTED LANGUAGE LEARNING AND TEACHING"
1206‐212X,,"         INTERNATIONAL JOURNAL OF COMPUTERS AND APPLICATIONS"
1076‐5204,,"         INTERNATIONAL JOURNAL OF COMPUTERS AND THEIR APPLICATIONS"
1841‐9836,1841‐9844,"INTERNATIONAL JOURNAL OF COMPUTERS, COMMUNICATIONS AND CONTROL"
1556‐1607,1556‐1615,"INTERNATIONAL JOURNAL OF COMPUTER‐SUPPORTED COLLABORATIVE LEARNING"
1727‐6209,2312‐5381,"INTERNATIONAL JOURNAL OF COMPUTING"
2210‐142X,,"         INTERNATIONAL JOURNAL OF COMPUTING AND DIGITAL SYSTEMS"
1752‐5055,1752‐5063,"INTERNATIONAL JOURNAL OF COMPUTING SCIENCE AND MATHEMATICS"
1598‐6446,2005‐4092,"INTERNATIONAL JOURNAL OF CONTROL, AUTOMATION AND SYSTEMS"
0218‐8430,1793‐6365,"INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS"
1757‐8779,1757‐8787,"INTERNATIONAL JOURNAL OF CRITICAL COMPUTER‐BASED SYSTEMS"
1874‐5482,,"         INTERNATIONAL JOURNAL OF CRITICAL INFRASTRUCTURE PROTECTION"
1947‐3435,1947‐3443,"INTERNATIONAL JOURNAL OF CYBER WARFARE AND TERRORISM"
1755‐8050,1755‐8069,"INTERNATIONAL JOURNAL OF DATA ANALYSIS TECHNIQUES AND STRATEGIES"
2561‐8148,2561‐8156,"INTERNATIONAL JOURNAL OF DATA AND NETWORK SCIENCE"
1748‐5673,1748‐5681,"INTERNATIONAL JOURNAL OF DATA MINING AND BIOINFORMATICS"
1759‐1163,1759‐1171,"INTERNATIONAL JOURNAL OF DATA MINING, MODELLING AND MANAGEMENT"
2364‐415X,2364‐4168,"INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS"
1548‐3924,1548‐3932,"INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING"
1941‐6210,1941‐6229,"INTERNATIONAL JOURNAL OF DIGITAL CRIME AND FORENSICS"
1753‐8947,1753‐8955,"INTERNATIONAL JOURNAL OF DIGITAL EARTH"
1539‐3100,,"         INTERNATIONAL JOURNAL OF DISTANCE EDUCATION TECHNOLOGIES"
1550‐1329,1550‐1477,"INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS"
1947‐3532,1947‐3540,"INTERNATIONAL JOURNAL OF DISTRIBUTED SYSTEMS AND TECHNOLOGIES"
1548‐3673,1548‐3681,"INTERNATIONAL JOURNAL OF E‐COLLABORATION"
2365‐9440,,"         INTERNATIONAL JOURNAL OF EDUCATIONAL TECHNOLOGY IN HIGHER EDUCATION"
1947‐315X,1947‐3168,"INTERNATIONAL JOURNAL OF E‐HEALTH AND MEDICAL COMMUNICATIONS"
1751‐911X,1751‐9128,"INTERNATIONAL JOURNAL OF ELECTRONIC SECURITY AND DIGITAL FORENSICS"
1947‐3176,1947‐3184,"INTERNATIONAL JOURNAL OF EMBEDDED AND REAL‐TIME COMMUNICATION SYSTEMS"
1741‐1068,1741‐1076,"INTERNATIONAL JOURNAL OF EMBEDDED SYSTEMS"
0129‐0541,1793‐6373,"INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE"
1598‐2645,2093‐744X,"INTERNATIONAL JOURNAL OF FUZZY LOGIC AND INTELLIGENT SYSTEMS"
2156‐177X,2156‐1761,"INTERNATIONAL JOURNAL OF FUZZY SYSTEM APPLICATIONS"
1562‐2479,2199‐3211,"INTERNATIONAL JOURNAL OF FUZZY SYSTEMS"
1942‐3888,1942‐3896,"INTERNATIONAL JOURNAL OF GAMING AND COMPUTER‐MEDIATED SIMULATIONS"
0308‐1079,1563‐5104,"INTERNATIONAL JOURNAL OF GENERAL SYSTEMS"
1365‐8816,1365‐8824,"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE"
1938‐0259,1938‐0267,"INTERNATIONAL JOURNAL OF GRID AND HIGH PERFORMANCE COMPUTING"
1741‐847X,1741‐8488,"INTERNATIONAL JOURNAL OF GRID AND UTILITY COMPUTING"
1555‐3396,1555‐340X,"INTERNATIONAL JOURNAL OF HEALTHCARE INFORMATION SYSTEMS AND INFORMATICS"
1094‐3420,1741‐2846,"INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS"
1751‐6528,1751‐6536,"INTERNATIONAL JOURNAL OF HIGH PERFORMANCE SYSTEMS ARCHITECTURE"
1071‐5819,1095‐9300,"INTERNATIONAL JOURNAL OF HUMAN COMPUTER STUDIES"
1044‐7318,1532‐7590,"INTERNATIONAL JOURNAL OF HUMAN‐COMPUTER INTERACTION"
1753‐8548,1755‐1706,"INTERNATIONAL JOURNAL OF HUMANITIES AND ARTS COMPUTING"
1448‐5869,1875‐8819,"INTERNATIONAL JOURNAL OF HYBRID INTELLIGENT SYSTEMS"
0219‐4678,1793‐6756,"INTERNATIONAL JOURNAL OF IMAGE AND GRAPHICS"
2074‐9074,2074‐9082,"INTERNATIONAL JOURNAL OF IMAGE, GRAPHICS AND SIGNAL PROCESSING"
0899‐9457,1098‐1098,"INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY"
2252‐8776,2722‐2616,"INTERNATIONAL JOURNAL OF INFORMATICS AND COMMUNICATION TECHNOLOGY"
1466‐6642,1741‐8070,"INTERNATIONAL JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY"
1550‐1876,1550‐1337,"INTERNATIONAL JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY EDUCATION"
1744‐1765,1744‐1773,"INTERNATIONAL JOURNAL OF INFORMATION AND COMPUTER SECURITY"
2056‐4880,2056‐4899,"INTERNATIONAL JOURNAL OF INFORMATION AND LEARNING TECHNOLOGY"
0268‐4012,,"         INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT"
2667‐0968,,"         INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT DATA INSIGHTS"
1615‐5262,1615‐5270,"INTERNATIONAL JOURNAL OF INFORMATION SECURITY"
1930‐1650,1930‐1669,"INTERNATIONAL JOURNAL OF INFORMATION SECURITY AND PRIVACY"
1947‐8186,1947‐8194,"INTERNATIONAL JOURNAL OF INFORMATION SYSTEM MODELING AND DESIGN"
1935‐5726,1935‐5734,"INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS AND SUPPLY CHAIN MANAGEMENT"
1935‐5688,1935‐5696,"INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS IN THE SERVICE SECTOR"
1935‐570X,1935‐5718,"INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGIES AND SYSTEMS APPROACH"
2511‐2104,2511‐2112,"INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY (SINGAPORE)"
0219‐6220,1793‐6845,"INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY AND DECISION MAKING"
1461‐4111,1741‐5179,"INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY AND MANAGEMENT"
1554‐1045,1554‐1053,"INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY AND WEB ENGINEERING"
1751‐648X,1751‐6498,"INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING AND APPLICATIONS"
1349‐4198,,"         INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING, INFORMATION AND CONTROL"
1756‐378X,1756‐3798,"INTERNATIONAL JOURNAL OF INTELLIGENT COMPUTING AND CYBERNETICS"
2185‐310X,2185‐3118,"INTERNATIONAL JOURNAL OF INTELLIGENT ENGINEERING AND SYSTEMS"
1758‐8715,1758‐8723,"INTERNATIONAL JOURNAL OF INTELLIGENT ENGINEERING INFORMATICS"
1751‐5858,1751‐5866,"INTERNATIONAL JOURNAL OF INTELLIGENT INFORMATION AND DATABASE SYSTEMS"
1548‐3657,1548‐3665,"INTERNATIONAL JOURNAL OF INTELLIGENT INFORMATION TECHNOLOGIES"
2666‐6030,,"         INTERNATIONAL JOURNAL OF INTELLIGENT NETWORKS"
2366‐5971,2366‐598X,"INTERNATIONAL JOURNAL OF INTELLIGENT ROBOTICS AND APPLICATIONS"
0884‐8173,1098‐111X,"INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS"
2147‐6799,,"         INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS AND APPLICATIONS IN ENGINEERING"
1740‐8865,1740‐8873,"INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS TECHNOLOGIES AND APPLICATIONS"
1865‐7923,,"         INTERNATIONAL JOURNAL OF INTERACTIVE MOBILE TECHNOLOGIES"
1989‐1660,,"         INTERNATIONAL JOURNAL OF INTERACTIVE MULTIMEDIA AND ARTIFICIAL INTELLIGENCE"
1751‐6048,1751‐6056,"INTERNATIONAL JOURNAL OF INTERNET MANUFACTURING AND SERVICES"
1743‐8209,1743‐8217,"INTERNATIONAL JOURNAL OF INTERNET PROTOCOL TECHNOLOGY"
1748‐569X,1748‐5703,"INTERNATIONAL JOURNAL OF INTERNET TECHNOLOGY AND SECURED TRANSACTIONS"
1327‐2314,1875‐8827,"INTERNATIONAL JOURNAL OF KNOWLEDGE‐BASED AND INTELLIGENT ENGINEERING SYSTEMS"
1868‐8071,1868‐808X,"INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS"
1386‐5056,1872‐8243,"INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS"
1755‐0653,1755‐0661,"INTERNATIONAL JOURNAL OF MEDICAL ENGINEERING AND INFORMATICS"
1744‐2621,1744‐263X,"INTERNATIONAL JOURNAL OF METADATA, SEMANTICS AND ONTOLOGIES"
1937‐9412,1937‐9404,"INTERNATIONAL JOURNAL OF MOBILE COMPUTING AND MULTIMEDIA COMMUNICATIONS"
1942‐390X,1942‐3918,"INTERNATIONAL JOURNAL OF MOBILE HUMAN COMPUTER INTERACTION"
1744‐2869,1744‐2850,"INTERNATIONAL JOURNAL OF MOBILE NETWORK DESIGN AND INNOVATION"
1793‐9623,1793‐9615,"INTERNATIONAL JOURNAL OF MODELING, SIMULATION, AND SCIENTIFIC COMPUTING"
0228‐6203,,"         INTERNATIONAL JOURNAL OF MODELLING AND SIMULATION"
2075‐0161,2075‐017X,"INTERNATIONAL JOURNAL OF MODERN EDUCATION AND COMPUTER SCIENCE"
2192‐6611,2192‐662X,"INTERNATIONAL JOURNAL OF MULTIMEDIA INFORMATION RETRIEVAL"
1055‐7148,1099‐1190,"INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT"
2211‐7938,2211‐7946,"INTERNATIONAL JOURNAL OF NETWORKED AND DISTRIBUTED COMPUTING"
1470‐9503,1741‐5225,"INTERNATIONAL JOURNAL OF NETWORKING AND VIRTUAL ORGANISATIONS"
0129‐0657,1793‐6462,"INTERNATIONAL JOURNAL OF NEURAL SYSTEMS"
1942‐3926,1942‐3934,"INTERNATIONAL JOURNAL OF OPEN SOURCE SOFTWARE AND PROCESSES"
1947‐9328,1947‐9336,"INTERNATIONAL JOURNAL OF OPERATIONS RESEARCH AND INFORMATION SYSTEMS"
0885‐7458,,"         INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING"
1744‐5760,1744‐5779,"INTERNATIONAL JOURNAL OF PARALLEL, EMERGENT AND DISTRIBUTED SYSTEMS"
0218‐0014,1793‐6381,"INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE"
1742‐7371,1742‐738X,"INTERNATIONAL JOURNAL OF PERVASIVE COMPUTING AND COMMUNICATIONS"
0219‐7499,1793‐6918,"INTERNATIONAL JOURNAL OF QUANTUM INFORMATION"
1755‐0556,1755‐0564,"INTERNATIONAL JOURNAL OF REASONING‐BASED INTELLIGENT SYSTEMS"
2089‐4864,2722‐2608,"INTERNATIONAL JOURNAL OF RECONFIGURABLE AND EMBEDDED SYSTEMS"
1687‐7195,1687‐7209,"INTERNATIONAL JOURNAL OF RECONFIGURABLE COMPUTING"
0826‐8185,1925‐7090,"INTERNATIONAL JOURNAL OF ROBOTICS AND AUTOMATION"
0278‐3649,1741‐3176,"INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH"
1747‐8405,1747‐8413,"INTERNATIONAL JOURNAL OF SECURITY AND NETWORKS"
1793‐351X,1793‐7108,"INTERNATIONAL JOURNAL OF SEMANTIC COMPUTING"
1748‐1279,1748‐1287,"INTERNATIONAL JOURNAL OF SENSOR NETWORKS"
2384‐8766,,"         INTERNATIONAL JOURNAL OF SERIOUS GAMES"
1741‐539X,1741‐5403,"INTERNATIONAL JOURNAL OF SERVICES OPERATIONS AND INFORMATICS"
1740‐2123,1740‐2131,"INTERNATIONAL JOURNAL OF SIMULATION AND PROCESS MODELLING"
1726‐4529,,"         INTERNATIONAL JOURNAL OF SIMULATION MODELLING"
1875‐4791,1875‐4805,"INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS"
1941‐6253,1941‐6261,"INTERNATIONAL JOURNAL OF SOCIOTECHNOLOGY AND KNOWLEDGE DEVELOPMENT"
0218‐1940,1793‐6403,"INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING"
2166‐7160,2166‐7179,"INTERNATIONAL JOURNAL OF SOFTWARE INNOVATION"
1381‐2416,1572‐8110,"INTERNATIONAL JOURNAL OF SPEECH TECHNOLOGY"
1947‐9263,1947‐9271,"INTERNATIONAL JOURNAL OF SWARM INTELLIGENCE RESEARCH"
1748‐0671,1748‐068X,"INTERNATIONAL JOURNAL OF SYSTEM OF SYSTEMS ENGINEERING"
1548‐3908,1548‐3916,"INTERNATIONAL JOURNAL OF TECHNOLOGY AND HUMAN INTERACTION"
1753‐5255,1753‐5263,"INTERNATIONAL JOURNAL OF TECHNOLOGY ENHANCED LEARNING"
1687‐6415,1687‐6423,"INTERNATIONAL JOURNAL OF TELEMEDICINE AND APPLICATIONS"
0218‐4885,1793‐6411,"INTERNATIONAL JOURNAL OF UNCERTAINTY, FUZZINESS AND KNOWLEDGE‐BASED SYSTEMS"
1548‐7199,1548‐7202,"INTERNATIONAL JOURNAL OF UNCONVENTIONAL COMPUTING"
1947‐8518,1947‐8526,"INTERNATIONAL JOURNAL OF VIRTUAL AND PERSONAL LEARNING ENVIRONMENTS"
0219‐6913,1793‐690X,"INTERNATIONAL JOURNAL OF WAVELETS, MULTIRESOLUTION AND INFORMATION PROCESSING"
1741‐1106,1741‐1114,"INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES"
1477‐8394,1741‐8216,"INTERNATIONAL JOURNAL OF WEB BASED COMMUNITIES"
1476‐1289,1741‐9212,"INTERNATIONAL JOURNAL OF WEB ENGINEERING AND TECHNOLOGY"
1744‐0084,1744‐0092,"INTERNATIONAL JOURNAL OF WEB INFORMATION SYSTEMS"
1938‐0194,1938‐0208,"INTERNATIONAL JOURNAL OF WEB PORTALS"
1545‐7362,1546‐5004,"INTERNATIONAL JOURNAL OF WEB SERVICES RESEARCH"
1548‐1093,1548‐1107,"INTERNATIONAL JOURNAL OF WEB‐BASED LEARNING AND TEACHING TECHNOLOGIES"
1741‐1084,1741‐1092,"INTERNATIONAL JOURNAL OF WIRELESS AND MOBILE COMPUTING"
1068‐9605,1572‐8129,"INTERNATIONAL JOURNAL OF WIRELESS INFORMATION NETWORKS"
2088‐5334,2460‐6952,"INTERNATIONAL JOURNAL ON ADVANCED SCIENCE, ENGINEERING AND INFORMATION TECHNOLOGY"
0218‐2130,1793‐6349,"INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS"
1432‐5012,,"         INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES"
1433‐2833,1433‐2825,"INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITION"
1537‐2456,1943‐5932,"INTERNATIONAL JOURNAL ON E‐LEARNING: CORPORATE, GOVERNMENT, HEALTHCARE, AND HIGHER EDUCATION"
2085‐6830,2087‐5886,"INTERNATIONAL JOURNAL ON ELECTRICAL ENGINEERING AND INFORMATICS"
2549‐9904,,"         INTERNATIONAL JOURNAL ON INFORMATICS VISUALIZATION"
1552‐6283,1552‐6291,"INTERNATIONAL JOURNAL ON SEMANTIC WEB AND INFORMATION SYSTEMS"
1433‐2779,1433‐2787,"INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER"
0969‐6016,1475‐3995,"INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH"
1096‐7516,,"         INTERNET AND HIGHER EDUCATION"
2470‐1475,2470‐1483,"INTERNET HISTORIES"
1542‐7951,,"         INTERNET MATHEMATICS"
2199‐1073,2199‐1081,"INTERNET OF THINGS"
2543‐1536,2542‐6605,"INTERNET OF THINGS (NETHERLANDS)"
2667‐3452,,"         INTERNET OF THINGS AND CYBER‐PHYSICAL SYSTEMS"
2197‐6775,,"         INTERNET POLICY REVIEW"
1066‐2243,1066‐2243,"INTERNET RESEARCH"
2476‐1508,,"         INTERNET TECHNOLOGY LETTERS"
1942‐9703,,"         INTERNETWORKING INDONESIA JOURNAL"
2624‐831X,,"         IOT"
1882‐6679,,"         IPSJ TRANSACTIONS ON BIOINFORMATICS"
1882‐6695,,"         IPSJ TRANSACTIONS ON COMPUTER VISION AND APPLICATIONS"
1735‐0654,,"         IRANIAN JOURNAL OF FUZZY SYSTEMS"
2251‐8223,2251‐8231,"IRANIAN JOURNAL OF INFORMATION PROCESSING MANAGEMENT"
2958‐0544,2788‐7421,"IRAQI JOURNAL FOR COMPUTER SCIENCE AND MATHEMATICS"
2008‐2045,2008‐3076,"ISECURE"
2220‐9964,,"         ISPRS INTERNATIONAL JOURNAL OF GEO‐INFORMATION"
1611‐2776,2196‐7032,"IT ‐ INFORMATION TECHNOLOGY"
1520‐9202,,"         IT PROFESSIONAL"
1746‐5702,,"         ITNOW"
1002‐0446,,"         JIQIREN/ROBOT"
1003‐9775,,"         JISUANJI FUZHU SHEJI YU TUXINGXUE XUEBAO/JOURNAL OF COMPUTER‐AIDED DESIGN AND COMPUTER GRAPHICS"
1000‐3428,,"         JISUANJI GONGCHENG/COMPUTER ENGINEERING"
0254‐4164,,"         JISUANJI XUEBAO/CHINESE JOURNAL OF COMPUTERS"
1000‐1239,,"         JISUANJI YANJIU YU FAZHAN/COMPUTER RESEARCH AND DEVELOPMENT"
2291‐9694,,"         JMIR MEDICAL INFORMATICS"
2413‐9351,2415‐1076,"JORDANIAN JOURNAL OF COMPUTERS AND INFORMATION TECHNOLOGY"
1269‐6935,2116‐7087,"JOURNAL EUROPEEN DES SYSTEMES AUTOMATISES"
1343‐0130,1883‐8014,"JOURNAL OF ADVANCED COMPUTATIONAL INTELLIGENCE AND INTELLIGENT INFORMATICS"
1557‐6418,,"         JOURNAL OF ADVANCES IN INFORMATION FUSION"
1798‐2340,,"         JOURNAL OF ADVANCES IN INFORMATION TECHNOLOGY"
1748‐3018,1748‐3026,"JOURNAL OF ALGORITHMS AND COMPUTATIONAL TECHNOLOGY"
1868‐5137,1868‐5145,"JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING"
1876‐1364,,"         JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS"
2723‐6471,,"         JOURNAL OF APPLIED DATA SCIENCES"
2734‐1194,2234‐8417,"JOURNAL OF APPLIED MATHEMATICS AND INFORMATICS"
2705‐0785,2705‐0793,"JOURNAL OF ARTIFICIAL INTELLIGENCE AND CONSCIOUSNESS"
2083‐2567,2449‐6499,"JOURNAL OF ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING RESEARCH"
2766‐8649,,"         JOURNAL OF ARTIFICIAL INTELLIGENCE AND TECHNOLOGY"
1076‐9757,1943‐5037,"JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH"
1460‐7425,,"         JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION"
1430‐189X,2567‐3785,"JOURNAL OF AUTOMATA, LANGUAGES AND COMBINATORICS"
0168‐7433,1573‐0670,"JOURNAL OF AUTOMATED REASONING"
1897‐8649,2080‐2145,"JOURNAL OF AUTOMATION, MOBILE ROBOTICS AND INTELLIGENT SYSTEMS"
2630‐5046,,"         JOURNAL OF AUTONOMOUS INTELLIGENCE"
2196‐1115,,"         JOURNAL OF BIG DATA"
0219‐7200,1757‐6334,"JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY"
1532‐0464,1532‐0480,"JOURNAL OF BIOMEDICAL INFORMATICS"
2041‐1480,,"         JOURNAL OF BIOMEDICAL SEMANTICS"
2573‐234X,2573‐2358,"JOURNAL OF BUSINESS ANALYTICS"
1557‐5969,1557‐5977,"JOURNAL OF CELLULAR AUTOMATA"
1758‐2946,,"         JOURNAL OF CHEMINFORMATICS"
0218‐1266,1793‐6454,"JOURNAL OF CIRCUITS, SYSTEMS AND COMPUTERS"
2192‐113X,,"         JOURNAL OF CLOUD COMPUTING"
1555‐3434,2169‐5032,"JOURNAL OF COGNITIVE ENGINEERING AND DECISION MAKING"
1598‐2327,1976‐6939,"JOURNAL OF COGNITIVE SCIENCE"
1382‐6905,1573‐2886,"JOURNAL OF COMBINATORIAL OPTIMIZATION"
0097‐3165,1096‐0899,"JOURNAL OF COMBINATORIAL THEORY. SERIES A"
0095‐8956,1096‐0902,"JOURNAL OF COMBINATORIAL THEORY. SERIES B"
2096‐1081,2509‐3312,"JOURNAL OF COMMUNICATIONS AND INFORMATION NETWORKS"
1229‐2370,1976‐5541,"JOURNAL OF COMMUNICATIONS AND NETWORKS"
1845‐6421,,"         JOURNAL OF COMMUNICATIONS SOFTWARE AND SYSTEMS"
2051‐1310,2051‐1329,"JOURNAL OF COMPLEX NETWORKS"
2810‐9570,2810‐9503,"JOURNAL OF COMPUTATIONAL AND COGNITIVE ENGINEERING"
1066‐5277,1557‐8666,"JOURNAL OF COMPUTATIONAL BIOLOGY"
2288‐4300,2288‐5048,"JOURNAL OF COMPUTATIONAL DESIGN AND ENGINEERING"
1920‐180X,,"         JOURNAL OF COMPUTATIONAL GEOMETRY"
2772‐4158,,"         JOURNAL OF COMPUTATIONAL MATHEMATICS AND DATA SCIENCE"
1472‐7978,,"         JOURNAL OF COMPUTATIONAL METHODS IN SCIENCES AND ENGINEERING"
1877‐7503,,"         JOURNAL OF COMPUTATIONAL SCIENCE"
2432‐2717,2432‐2725,"JOURNAL OF COMPUTATIONAL SOCIAL SCIENCE"
1560‐7534,2313‐691X,"JOURNAL OF COMPUTATIONAL TECHNOLOGIES"
0022‐0000,1090‐2724,"JOURNAL OF COMPUTER AND SYSTEM SCIENCES"
1064‐2307,1555‐6530,"JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL"
0266‐4909,1365‐2729,"JOURNAL OF COMPUTER ASSISTED LEARNING"
0887‐4417,,"         JOURNAL OF COMPUTER INFORMATION SYSTEMS"
2665‐9182,2590‐1184,"JOURNAL OF COMPUTER LANGUAGES"
2090‐7141,2090‐715X,"JOURNAL OF COMPUTER NETWORKS AND COMMUNICATIONS"
1549‐3636,,"         JOURNAL OF COMPUTER SCIENCE"
1000‐9000,1860‐4749,"JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY"
1666‐6046,1666‐6038,"JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY (ARGENTINA)"
0926‐227X,1875‐8924,"JOURNAL OF COMPUTER SECURITY"
2263‐8733,,"         JOURNAL OF COMPUTER VIROLOGY AND HACKING TECHNIQUES"
2197‐9987,2197‐9995,"JOURNAL OF COMPUTERS IN EDUCATION"
1530‐9827,,"         JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING"
1330‐1136,1846‐3908,"JOURNAL OF COMPUTING AND INFORMATION TECHNOLOGY"
1042‐1726,1867‐1233,"JOURNAL OF COMPUTING IN HIGHER EDUCATION"
1687‐5249,1687‐5257,"JOURNAL OF CONTROL SCIENCE AND ENGINEERING"
2190‐8508,2190‐8516,"JOURNAL OF CRYPTOGRAPHIC ENGINEERING"
2095‐7025,,"         JOURNAL OF CRYPTOLOGIC RESEARCH"
0933‐2790,1432‐1378,"JOURNAL OF CRYPTOLOGY"
2096‐1146,,"         JOURNAL OF CYBER SECURITY"
2245‐1439,2245‐4578,"JOURNAL OF CYBER SECURITY AND MOBILITY"
2057‐2093,,"         JOURNAL OF CYBERSECURITY"
2769‐7851,2690‐6775,"JOURNAL OF CYBERSECURITY AND INFORMATION MANAGEMENT"
2624‐800X,,"         JOURNAL OF CYBERSECURITY AND PRIVACY"
1936‐1955,1936‐1963,"JOURNAL OF DATA AND INFORMATION QUALITY"
1063‐8016,1533‐8010,"JOURNAL OF DATABASE MANAGEMENT"
1246‐0125,2116‐7052,"JOURNAL OF DECISION SYSTEMS"
0897‐1889,1618‐727X,"JOURNAL OF DIGITAL IMAGING"
1570‐8667,,"         JOURNAL OF DISCRETE ALGORITHMS"
0022‐0418,,"         JOURNAL OF DOCUMENTATION"
2518‐0169,2410‐9991,"JOURNAL OF EDUCATION AND E‐LEARNING RESEARCH"
0735‐6331,1541‐4140,"JOURNAL OF EDUCATIONAL COMPUTING RESEARCH"
2157‐2100,,"         JOURNAL OF EDUCATIONAL DATA MINING"
1055‐8896,1943‐5916,"JOURNAL OF EDUCATIONAL MULTIMEDIA AND HYPERMEDIA"
1826‐6223,1971‐8829,"JOURNAL OF E‐LEARNING AND KNOWLEDGE SOCIETY"
2090‐0147,2090‐0155,"JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING"
1017‐9909,1560‐229X,"JOURNAL OF ELECTRONIC IMAGING"
1084‐6654,,"         JOURNAL OF EXPERIMENTAL ALGORITHMICS"
0952‐813X,1362‐3079,"JOURNAL OF EXPERIMENTAL AND THEORETICAL ARTIFICIAL INTELLIGENCE"
1556‐4959,1556‐4967,"JOURNAL OF FIELD ROBOTICS"
2405‐9188,,"         JOURNAL OF FINANCE AND DATA SCIENCE"
2640‐3943,2640‐3951,"JOURNAL OF FINANCIAL DATA SCIENCE"
